Year,Origin,Destination,Refugees,Returned,IDPs,Storyline
1984,Afghanistan,Pakistan,2500000,0,0,
1984,Ethiopia,Saudi Arabia,100000,30000,0,
1984,Ethiopia,Sudan,645000,200,0,
1984,Ethiopia,Somalia,701300,0,0,
1984,Burundi,United Rep. of Tanzania,154240,0,0,
1984,Dem. Rep. of the Congo,Uganda,31350,0,0,
1984,Rwanda,Uganda,115350,0,0,
1985,Rwanda,Burundi,224570,2430,0,
1985,Viet Nam,China,275480,0,0,
1985,Sudan,Ethiopia,180000,0,0,
1985,Afghanistan,Iran (Islamic Rep. of),1900000,0,0,
1985,Iraq,Iran (Islamic Rep. of),400000,0,0,
1985,Afghanistan,Pakistan,2729910,0,0,
1985,Burundi,Rwanda,20110,0,0,
1985,Ethiopia,Saudi Arabia,120000,0,0,
1985,Ethiopia,Sudan,786000,115520,0,
1985,Ethiopia,Somalia,812000,0,0,
1985,Burundi,United Rep. of Tanzania,169700,0,0,
1985,Rwanda,United Rep. of Tanzania,21000,0,0,
1985,Dem. Rep. of the Congo,Uganda,32700,0,0,
1985,Rwanda,Uganda,118000,0,0,
1986,Dem. Rep. of the Congo,Burundi,21400,0,0,
1986,Rwanda,Burundi,225000,0,0,
1986,Viet Nam,China,278000,0,0,
1986,Sudan,Ethiopia,132000,0,0,
1986,Afghanistan,Iran (Islamic Rep. of),2190000,0,0,
1986,Iraq,Iran (Islamic Rep. of),400000,0,0,
1986,Afghanistan,Pakistan,2878100,0,0,
1986,Ethiopia,Saudi Arabia,130000,0,0,
1986,Ethiopia,Sudan,677000,109000,0,
1986,Ethiopia,Somalia,700000,104430,0,
1986,Burundi,United Rep. of Tanzania,181220,0,0,
1986,Rwanda,United Rep. of Tanzania,22300,0,0,
1986,Dem. Rep. of the Congo,Uganda,30800,0,0,
1986,Rwanda,Uganda,111600,0,0,
1987,Dem. Rep. of the Congo,Burundi,25000,0,0,
1987,Rwanda,Burundi,242180,0,0,
1987,Viet Nam,China,276800,0,0,
1987,Sudan,Ethiopia,250000,50,0,
1987,Somalia,Ethiopia,60000,0,0,
1987,Afghanistan,Iran (Islamic Rep. of),2350000,0,0,
1987,Iraq,Iran (Islamic Rep. of),410000,0,0,
1987,Afghanistan,Pakistan,3156000,0,0,
1987,Ethiopia,Sudan,627070,25610,0,
1987,Ethiopia,Somalia,840100,30230,0,
1987,Burundi,United Rep. of Tanzania,154440,0,0,
1987,Rwanda,United Rep. of Tanzania,22300,0,0,
1987,Rwanda,Uganda,83860,0,0,
1988,Dem. Rep. of the Congo,Burundi,59602,0,0,
1988,Rwanda,Burundi,207508,0,0,
1988,Viet Nam,China,280500,0,0,
1988,Sudan,Ethiopia,328976,1320,0,
1988,Somalia,Ethiopia,350067,0,0,
1988,Afghanistan,Iran (Islamic Rep. of),2350000,0,0,
1988,Iraq,Iran (Islamic Rep. of),500000,44000,0,
1988,Afghanistan,Pakistan,3254393,0,0,
1988,Burundi,Rwanda,22197,53000,0,
1988,Ethiopia,Sudan,660000,0,0,
1988,Ethiopia,Somalia,834000,1850,0,
1988,Burundi,United Rep. of Tanzania,154657,0,0,
1988,Rwanda,United Rep. of Tanzania,22299,0,0,
1988,Rwanda,Uganda,83588,0,0,
1988,Viet Nam,United States of America,113734,0,0,
1989,Dem. Rep. of the Congo,Burundi,59557,0,0,
1989,Rwanda,Burundi,207486,0,0,
1989,Viet Nam,China,280500,0,0,
1989,Somalia,Djibouti,29960,0,0,
1989,Sudan,Ethiopia,384989,0,0,
1989,Somalia,Ethiopia,324808,0,0,
1989,Afghanistan,Iran (Islamic Rep. of),2350000,0,0,
1989,Iraq,Iran (Islamic Rep. of),500000,0,0,
1989,Viet Nam,Malaysia,20475,18,0,
1989,Afghanistan,Pakistan,3272290,0,0,
1989,Burundi,Rwanda,23290,80,0,
1989,Ethiopia,Sudan,685426,1140,0,
1989,Ethiopia,Somalia,769630,4700,0,
1989,Burundi,United Rep. of Tanzania,154703,0,0,
1989,Rwanda,United Rep. of Tanzania,22290,0,0,
1989,Rwanda,Uganda,75553,0,0,
1989,Sudan,Uganda,52979,0,0,
1989,Viet Nam,United States of America,120243,0,0,
1990,Dem. Rep. of the Congo,Burundi,25850,0,0,
1990,Rwanda,Burundi,242200,0,0,
1990,Viet Nam,China,283426,0,0,
1990,Sudan,Dem. Rep. of the Congo,70900,0,0,
1990,Somalia,Djibouti,76180,0,0,
1990,Sudan,Ethiopia,387585,18440,0,
1990,Somalia,Ethiopia,386000,20190,0,
1990,Afghanistan,Iran (Islamic Rep. of),3061110,0,0,
1990,Iraq,Iran (Islamic Rep. of),1113291,0,0,
1990,Afghanistan,Pakistan,3253000,19290,0,
1990,Burundi,Rwanda,23587,320,0,
1990,Ethiopia,Sudan,856437,0,0,
1990,Ethiopia,Somalia,460000,0,0,
1990,Burundi,United Rep. of Tanzania,154689,0,0,
1990,Rwanda,United Rep. of Tanzania,22297,0,0,
1990,Rwanda,Uganda,82156,0,0,
1990,Sudan,Uganda,61960,0,0,
1990,Viet Nam,United States of America,137577,0,0,
1991,Dem. Rep. of the Congo,Burundi,25840,0,0,
1991,Rwanda,Burundi,243943,0,0,
1991,Myanmar,Bangladesh,40000,0,0,
1991,Viet Nam,China,284536,530,0,
1991,Burundi,Dem. Rep. of the Congo,41243,0,0,
1991,Rwanda,Dem. Rep. of the Congo,50930,0,0,
1991,Sudan,Dem. Rep. of the Congo,90780,0,0,
1991,Somalia,Djibouti,84628,0,0,
1991,Somalia,Ethiopia,513950,0,0,
1991,Afghanistan,Iran (Islamic Rep. of),3186616,0,0,
1991,Iraq,Iran (Islamic Rep. of),1218379,1333860,0,
1991,Somalia,Kenya,95887,0,0,
1991,Afghanistan,Pakistan,3098000,175000,0,
1991,Burundi,Rwanda,33996,590,0,
1991,Iraq,Saudi Arabia,32857,2700,0,
1991,Ethiopia,Sudan,200000,50950,0,
1991,Iraq,Turkey,28049,0,0,
1991,Burundi,United Rep. of Tanzania,148703,5990,0,
1991,Rwanda,United Rep. of Tanzania,50000,0,0,
1991,Rwanda,Uganda,84010,0,0,
1991,Sudan,Uganda,77142,0,0,
1991,Viet Nam,United States of America,158999,0,0,
1991,Somalia,Yemen,26738,0,0,
1992,Dem. Rep. of the Congo,Burundi,25782,70,0,
1992,Rwanda,Burundi,245612,140,0,
1992,Myanmar,Bangladesh,244994,8530,0,
1992,Viet Nam,China,285543,90,0,
1992,Rwanda,Dem. Rep. of the Congo,50929,0,0,
1992,Sudan,Dem. Rep. of the Congo,109373,0,0,
1992,Sudan,Ethiopia,25600,0,0,
1992,Somalia,Ethiopia,406147,0,0,
1992,Afghanistan,Iran (Islamic Rep. of),2900666,216600,0,
1992,Iraq,Iran (Islamic Rep. of),1250057,0,0,
1992,Ethiopia,Kenya,68633,8400,0,
1992,Sudan,Kenya,21800,3500,0,
1992,Somalia,Kenya,285619,4430,0,
1992,Afghanistan,Pakistan,1627000,1360000,0,
1992,Burundi,Rwanda,25153,9680,0,
1992,Iraq,Saudi Arabia,27684,520,0,
1992,Ethiopia,Sudan,200900,0,0,
1992,Burundi,United Rep. of Tanzania,149500,6800,0,
1992,Rwanda,United Rep. of Tanzania,50012,0,0,
1992,Rwanda,Uganda,85806,0,0,
1992,Sudan,Uganda,92110,0,0,
1992,Viet Nam,United States of America,180326,0,0,
1992,Somalia,Yemen,56204,0,0,
1993,Dem. Rep. of the Congo,Burundi,25970,0,0,
1993,Rwanda,Burundi,245548,150,0,
1993,Myanmar,Bangladesh,198823,46129,0,
1993,Sudan,Central African Rep.,23326,182,0,
1993,Viet Nam,China,285500,0,0,
1993,Burundi,Dem. Rep. of the Congo,176351,1705,0,
1993,Rwanda,Dem. Rep. of the Congo,53490,150,0,
1993,Sudan,Dem. Rep. of the Congo,111219,7276,0,
1993,Sudan,Ethiopia,44376,0,0,
1993,Somalia,Ethiopia,228139,0,0,
1993,Afghanistan,India,24421,1853,0,
1993,Afghanistan,Iran (Islamic Rep. of),1850000,0,0,
1993,Iraq,Iran (Islamic Rep. of),645000,0,0,
1993,Ethiopia,Kenya,26466,42504,0,
1993,Sudan,Kenya,31578,186,0,
1993,Somalia,Kenya,219049,66523,0,
1993,Afghanistan,Pakistan,1476876,0,0,
1993,Burundi,Rwanda,250000,0,0,
1993,Iraq,Saudi Arabia,24025,0,0,
1993,Ethiopia,Sudan,173200,13800,0,
1993,Iraq,Syrian Arab Rep.,35453,0,0,
1993,Myanmar,Thailand,82289,0,0,
1993,Burundi,United Rep. of Tanzania,444867,4644,0,
1993,Rwanda,United Rep. of Tanzania,51942,0,0,
1993,Rwanda,Uganda,97000,0,0,
1993,Sudan,Uganda,180000,0,0,
1993,Viet Nam,United States of America,205469,0,0,
1993,Somalia,Yemen,52400,0,0,
1994,Dem. Rep. of the Congo,Burundi,21887,99,0,
1994,Rwanda,Burundi,278092,338000,0,
1994,Myanmar,Bangladesh,116074,85300,0,
1994,Sudan,Central African Rep.,25889,0,0,
1994,Viet Nam,China,285470,0,0,
