Year,Destination,Origin,Refugees
1985,Burundi,Rwanda,224570
1985,China,Viet Nam,275480
1985,Ethiopia,Sudan,180000
1985,Iran (Islamic Rep. of),Afghanistan,1900000
1985,Iran (Islamic Rep. of),Iraq,400000
1985,Pakistan,Afghanistan,2729910
1985,Rwanda,Burundi,20110
1985,Saudi Arabia,Ethiopia,120000
1985,Sudan,Ethiopia,786000
1985,Somalia,Ethiopia,812000
1985,United Rep. of Tanzania,Burundi,169700
1985,United Rep. of Tanzania,Rwanda,21000
1985,Uganda,Dem. Rep. of the Congo,32700
1985,Uganda,Rwanda,118000
1986,Burundi,Dem. Rep. of the Congo,21400
1986,Burundi,Rwanda,225000
1986,China,Viet Nam,278000
1986,Ethiopia,Sudan,132000
1986,Iran (Islamic Rep. of),Afghanistan,2190000
1986,Iran (Islamic Rep. of),Iraq,400000
1986,Pakistan,Afghanistan,2878100
1986,Saudi Arabia,Ethiopia,130000
1986,Sudan,Ethiopia,677000
1986,Somalia,Ethiopia,700000
1986,United Rep. of Tanzania,Burundi,181220
1986,United Rep. of Tanzania,Rwanda,22300
1986,Uganda,Dem. Rep. of the Congo,30800
1986,Uganda,Rwanda,111600
1987,Burundi,Dem. Rep. of the Congo,25000
1987,Burundi,Rwanda,242180
1987,China,Viet Nam,276800
1987,Ethiopia,Sudan,250000
1987,Ethiopia,Somalia,60000
1987,Iran (Islamic Rep. of),Afghanistan,2350000
1987,Iran (Islamic Rep. of),Iraq,410000
1987,Pakistan,Afghanistan,3156000
1987,Sudan,Ethiopia,627070
1987,Somalia,Ethiopia,840100
1987,United Rep. of Tanzania,Burundi,154440
1987,United Rep. of Tanzania,Rwanda,22300
1987,Uganda,Rwanda,83860
1988,Burundi,Dem. Rep. of the Congo,59602
1988,Burundi,Rwanda,207508
1988,China,Viet Nam,280500
1988,Ethiopia,Sudan,328976
1988,Ethiopia,Somalia,350067
1988,Iran (Islamic Rep. of),Afghanistan,2350000
1988,Iran (Islamic Rep. of),Iraq,500000
1988,Pakistan,Afghanistan,3254393
1988,Rwanda,Burundi,22197
1988,Sudan,Ethiopia,660000
1988,Somalia,Ethiopia,834000
1988,United Rep. of Tanzania,Burundi,154657
1988,United Rep. of Tanzania,Rwanda,22299
1988,Uganda,Rwanda,83588
1988,United States of America,Viet Nam,113734
1989,Burundi,Dem. Rep. of the Congo,59557
1989,Burundi,Rwanda,207486
1989,China,Viet Nam,280500
1989,Djibouti,Somalia,29960
1989,Ethiopia,Sudan,384989
1989,Ethiopia,Somalia,324808
1989,Iran (Islamic Rep. of),Afghanistan,2350000
1989,Iran (Islamic Rep. of),Iraq,500000
1989,Malaysia,Viet Nam,20475
1989,Pakistan,Afghanistan,3272290
1989,Rwanda,Burundi,23290
1989,Sudan,Ethiopia,685426
1989,Somalia,Ethiopia,769630
1989,United Rep. of Tanzania,Burundi,154703
1989,United Rep. of Tanzania,Rwanda,22290
1989,Uganda,Rwanda,75553
1989,Uganda,Sudan,52979
1989,United States of America,Viet Nam,120243
1990,Burundi,Dem. Rep. of the Congo,25850
1990,Burundi,Rwanda,242200
1990,China,Viet Nam,283426
1990,Dem. Rep. of the Congo,Sudan,70900
1990,Djibouti,Somalia,76180
1990,Ethiopia,Sudan,387585
1990,Ethiopia,Somalia,386000
1990,Iran (Islamic Rep. of),Afghanistan,3061110
1990,Iran (Islamic Rep. of),Iraq,1113291
1990,Pakistan,Afghanistan,3253000
1990,Rwanda,Burundi,23587
1990,Sudan,Ethiopia,856437
1990,Somalia,Ethiopia,460000
1990,United Rep. of Tanzania,Burundi,154689
1990,United Rep. of Tanzania,Rwanda,22297
1990,Uganda,Rwanda,82156
1990,Uganda,Sudan,61960
1990,United States of America,Viet Nam,137577
1991,Burundi,Dem. Rep. of the Congo,25840
1991,Burundi,Rwanda,243943
1991,Bangladesh,Myanmar,40000
1991,China,Viet Nam,284536
1991,Dem. Rep. of the Congo,Burundi,41243
1991,Dem. Rep. of the Congo,Rwanda,50930
1991,Dem. Rep. of the Congo,Sudan,90780
1991,Djibouti,Somalia,84628
1991,Ethiopia,Somalia,513950
1991,Iran (Islamic Rep. of),Afghanistan,3186616
1991,Iran (Islamic Rep. of),Iraq,1218379
1991,Kenya,Somalia,95887
1991,Pakistan,Afghanistan,3098000
1991,Rwanda,Burundi,33996
1991,Saudi Arabia,Iraq,32857
1991,Sudan,Ethiopia,200000
1991,Turkey,Iraq,28049
1991,United Rep. of Tanzania,Burundi,148703
1991,United Rep. of Tanzania,Rwanda,50000
1991,Uganda,Rwanda,84010
1991,Uganda,Sudan,77142
1991,United States of America,Viet Nam,158999
1991,Yemen,Somalia,26738
1992,Burundi,Dem. Rep. of the Congo,25782
1992,Burundi,Rwanda,245612
1992,Bangladesh,Myanmar,244994
1992,China,Viet Nam,285543
1992,Dem. Rep. of the Congo,Rwanda,50929
1992,Dem. Rep. of the Congo,Sudan,109373
1992,Ethiopia,Sudan,25600
1992,Ethiopia,Somalia,406147
1992,Iran (Islamic Rep. of),Afghanistan,2900666
1992,Iran (Islamic Rep. of),Iraq,1250057
1992,Kenya,Ethiopia,68633
1992,Kenya,Sudan,21800
1992,Kenya,Somalia,285619
1992,Pakistan,Afghanistan,1627000
1992,Rwanda,Burundi,25153
1992,Saudi Arabia,Iraq,27684
1992,Sudan,Ethiopia,200900
1992,United Rep. of Tanzania,Burundi,149500
1992,United Rep. of Tanzania,Rwanda,50012
